location,price,bedrooms,bathrooms,size
"DHA Phase 6, DHA Defence, Lahore",74500000,5,6,4500.0
"DHA Phase 7, DHA Defence, Lahore",51500000,5,6,4500.0
"Dream Gardens, Defence Road, Lahore",7500000,1,1,518.0
"DHA Phase 6, DHA Defence, Lahore",73000000,5,6,4500.0
"Bahria Town - Sector B, Bahria Town, Lahore",5700000,1,1,472.0
"DHA Phase 5 - Block L, DHA Phase 5, Lahore",53500000,5,6,2250.0
"Bahria Town - Overseas A, Bahria Town - Overseas Enclave, Lahore",97500000,5,6,4500.0
"Bahria Town - Jasmine Block, Bahria Town - Sector C, Lahore",47000000,5,7,4500.0
"Bahria Town - Sector E, Bahria Town, Lahore",5000000,1,1,450.0
"Raiwind Road, Lahore, Lahore",8299000,1,1,630.0
"DHA Phase 6, DHA Defence, Lahore",95000000,6,7,4500.0
"DHA 11 Rahbar Phase 2 - Block K, DHA 11 Rahbar Phase 2, Lahore",20000000,3,4,1125.0
"Ali Park - Block E, Ali Park, Lahore",8000000,3,3,562.0
"Bahria Town - Jinnah Block, Bahria Town - Sector E, Lahore",20700000,3,4,1125.0
"Bahria Town - Overseas A, Bahria Town - Overseas Enclave, Lahore",32800000,0,0,2250.0
"DHA Phase 5, DHA Defence, Lahore",85000000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",378000000,6,7,9000.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",18300000,3,4,1125.0
"Bahria Town - Overseas A, Bahria Town - Overseas Enclave, Lahore",32800000,5,6,2250.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",18500000,3,4,1125.0
"Al-Kabir Town - Phase 2, Al-Kabir Town, Lahore",17500000,4,5,1125.0
"DHA Phase 7, DHA Defence, Lahore",73000000,5,6,4500.0
"PCSIR Housing Scheme Phase 2, PCSIR Housing Scheme, Lahore",62500000,5,6,4500.0
"Jubilee Town, Lahore, Lahore",16500000,5,6,1125.0
"Wapda Town Phase 1, Wapda Town, Lahore",52500000,5,6,4500.0
"Architects Engineers Housing Society, Lahore, Lahore",57000000,5,5,4500.0
"Johar Town, Lahore, Lahore",29000000,5,5,1125.0
"Paragon City, Lahore, Lahore",50000000,5,6,2250.0
"Johar Town Phase 2, Johar Town, Lahore",29000000,5,6,1125.0
"DHA Phase 7 - Block Y, DHA Phase 7, Lahore",61000000,5,6,4500.0
"DHA Phase 5, DHA Defence, Lahore",78400000,5,6,4500.0
"Askari 11 - Sector B, Askari 11, Lahore",23000000,3,4,2250.0
"Sadaat Town, Lahore, Lahore",16000000,3,4,1125.0
"Bahria Town - Jinnah Block, Bahria Town - Sector E, Lahore",22000000,3,4,1125.0
"Al-Kabir Town - Phase 2, Al-Kabir Town, Lahore",9000000,3,4,675.0
"DHA 9 Town, DHA Defence, Lahore",19500000,3,4,1125.0
"DHA 9 Town, DHA Defence, Lahore",18500000,3,4,1125.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",49900000,4,5,2250.0
"DHA Phase 6 - Block J, DHA Phase 6, Lahore",36500000,4,4,1575.0
"Bahria Town - Jasmine Block, Bahria Town - Sector C, Lahore",46000000,5,6,2250.0
"Bahria Town - Chambelli Block, Bahria Town - Sector C, Lahore",47500000,5,6,2250.0
"Green Cap Housing Society, Lahore, Lahore",7700000,3,3,788.0
"Jubilee Town, Lahore, Lahore",32000000,6,7,2250.0
"Bahria Town - Block BB, Bahria Town - Sector D, Lahore",21000000,3,4,1125.0
"DHA Phase 6 - Block L, DHA Phase 6, Lahore",62900000,4,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",21500000,3,4,1125.0
"DHA Phase 8, DHA Defence, Lahore",58000000,5,6,4500.0
"DHA Phase 7, DHA Defence, Lahore",73500000,5,6,4500.0
"DHA Phase 2 - Block U, DHA Phase 2, Lahore",150000000,6,7,12150.0
"DHA Phase 6 - Block D, DHA Phase 6, Lahore",65000000,2,3,4500.0
"DHA 9 Town - Block A, DHA 9 Town, Lahore",18500000,3,4,1125.0
"DHA 9 Town - Block A, DHA 9 Town, Lahore",19000000,3,4,1125.0
"DHA Phase 6 - Block D, DHA Phase 6, Lahore",86000000,5,6,4500.0
"Central Park - Block F, Central Park Housing Scheme, Lahore",27000000,5,6,2250.0
"DHA Phase 2, DHA Defence, Lahore",229500000,6,7,9000.0
"DHA Phase 3, DHA Defence, Lahore",102500000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",78600000,5,6,4500.0
"Rehan Garden Phase 2, Rehan Garden, Lahore",6250000,3,4,1125.0
"Eden City, Eden, Lahore",55000000,7,5,4500.0
"Valencia - Block L, Valencia Housing Society, Lahore",75000000,6,7,4500.0
"Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1, Lahore",15500000,3,2,1125.0
"Bedian Road, Lahore, Lahore",10500000,3,4,1125.0
"Rehan Garden Phase 2, Rehan Garden, Lahore",9700000,3,4,1125.0
"DHA Phase 6, DHA Defence, Lahore",71500000,5,6,4500.0
"DHA Phase 3, DHA Defence, Lahore",62500000,5,6,4500.0
"Formanites Housing Scheme - Block A, Formanites Housing Scheme, Lahore",39000000,5,6,2250.0
"DHA Phase 1 - Block D, DHA Phase 1, Lahore",39500000,4,3,3825.0
"DHA Phase 1 - Block M, DHA Phase 1, Lahore",110000000,5,6,9000.0
"DHA Phase 1, DHA Defence, Lahore",70000,3,3,4500.0
"DHA Phase 3, DHA Defence, Lahore",62500000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",120000000,5,5,4500.0
"DHA Phase 6, DHA Defence, Lahore",120000000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",35000000,3,4,1125.0
"Johar Town Phase 2, Johar Town, Lahore",27000000,6,6,1125.0
"Gulshan-e-Lahore, Lahore, Lahore",13000000,3,3,675.0
"DHA Phase 7, DHA Defence, Lahore",69000000,5,6,4500.0
